"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"DR_2_CP","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UGA","Uganda","2000","2000",40.13612,,
"DR_2_CP","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UGA","Uganda","2001","2001",4.37689,,
"DR_2_CP","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UGA","Uganda","2002","2002",32.78022,,
"DR_2_CP","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UGA","Uganda","2003","2003",32.58335,,
"DR_2_CP","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UGA","Uganda","2005","2005",3.92116,"‡","UIS Estimation"
"DR_2_CP","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UGA","Uganda","2006","2006",9.1804,"‡","UIS Estimation"
"DR_2_CP","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UGA","Uganda","2007","2007",7.6912,"‡","UIS Estimation"
"DR_2_CP","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UGA","Uganda","2008","2008",13.30234,,
"DR_2_CP","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UGA","Uganda","2009","2009",28.95333,,
"DR_2_CP","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UGA","Uganda","2010","2010",40.66313,,
"DR_2_CP","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UGA","Uganda","2011","2011",22.37097,,
"DR_2_CP","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UGA","Uganda","2012","2012",10.5202,,
"DR_2_CP","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","UGA","Uganda","2013","2013",18.15821,,
"DR_2_F_CP","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UGA","Uganda","2000","2000",43.18231,,
"DR_2_F_CP","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UGA","Uganda","2001","2001",0.27863,,
"DR_2_F_CP","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UGA","Uganda","2002","2002",33.87196,,
"DR_2_F_CP","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UGA","Uganda","2003","2003",35.45613,,
"DR_2_F_CP","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UGA","Uganda","2006","2006",10.54571,"‡","UIS Estimation"
"DR_2_F_CP","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UGA","Uganda","2007","2007",10.03845,"‡","UIS Estimation"
"DR_2_F_CP","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UGA","Uganda","2008","2008",16.50116,,
