GEOdetailed,quinade,tyr,hc,GMRealPcGDP,GMRealPcGDPgrowth,GMLifeEx,Thc,prisectersum,Healthindex,MeanEnrolIndex,NIHDI,logGMRealPcGDP,TEffLegExe,NIHDI10,TInstitutions,TMyInstitutions,TInstitutions6t,TWBGIndex3,TEffandResGov,polit08,polit09,polit13,polit14
"Australia and New Zealand",1800,,,738.5,.1260218,34.05,,,.2161538,,,6.598763,,,,,,,,,,,
"Australia and New Zealand",1805,,,743.5,.1210668,34.05,,,.2161538,,,6.604868,,,,,,,,,,,
"Australia and New Zealand",1810,,,748.5,.1228882,34.05,,,.2161538,,,6.611,,,,,,,,,,,
"Australia and New Zealand",1815,,,753.5,.1183445,34.05,,,.2161538,,,6.61697,,,,,,,,,,,
"Australia and New Zealand",1820,,,778.8,1.329086,34.05,,45.72678,.2161538,.1524226,.1802799,6.646142,,1.802799,,,,,,,,,
"Australia and New Zealand",1825,,,866.5,1.784718,34.05,,48.36462,.2161538,.1612154,.185526,6.735518,,1.85526,,,,,,,,,
"Australia and New Zealand",1830,,,1068,3.27195,34.05,,51.0144,.2161538,.170048,.1906579,6.895417,,1.906579,,,,,,,,,
"Australia and New Zealand",1835,,,1272.5,1.62127,34.05,,53.66203,.2161538,.1788734,.1956572,7.017943,,1.956572,,,,,,,,,
"Australia and New Zealand",1840,,,1448,7.703513,34.05,,56.29411,.2161538,.187647,.2005085,7.176167,,2.005085,,,,,,,,,
"Australia and New Zealand",1845,,,2207.8,9.794437,34.05,,58.89767,.2161538,.1963256,.2051981,7.627776,,2.051981,,,,,,,,,
"Australia and New Zealand",1850,,,3191.7,6.579227,34.05,,61.48157,.2161538,.2049386,.2097485,8.014877,,2.097485,,,,,,,,,
"Australia and New Zealand",1855,,,3750.7,5.375562,34.05,,64.03006,.2161538,.2134335,.2141418,8.210728,,2.141418,,,,,,,,,
"Australia and New Zealand",1860,,,4306.5,1.862567,34.05,,66.54333,.2161538,.2218111,.218386,8.364174,,2.18386,,,,,,,,,
"Australia and New Zealand",1865,,,4813.2,2.449643,34.05,,72.58641,.2161538,.2419547,.2285074,8.478632,,2.285074,,,,,,,,,
"Australia and New Zealand",1870,2.64,1.28,5855.3,4.830656,35.027,1.921268,78.70322,.2311846,.262344,.246242,8.67507,,2.46242,,,,,,,,,
"Australia and New Zealand",1875,2.69,1.31,6617.9,.4835928,37.464,2.0145,85.88419,.2686769,.2862806,.2773318,8.796843,,2.773317,,,,,,,,,
"Australia and New Zealand",1880,2.84,1.31,6645.4,.7632754,39.903,2.021333,101.2442,.3062,.3374805,.321418,8.79851,,3.21418,,,,,,,,,
"Australia and New Zealand",1885,3.12,1.37,6774.4,1.052971,42.343,2.196117,101.1878,.3437385,.3372927,.3403859,8.814657,,3.403859,,,,,,,,,
"Australia and New Zealand",1890,3.43,1.40,6540.9,-2.444649,44.779,2.300592,99.28585,.3812154,.3309528,.355082,8.784673,,3.55082,,,,,,,,,
"Australia and New Zealand",1895,3.66,1.44,6326.5,1.628532,47.22,2.433825,98.44327,.4187692,.3281443,.370669,8.751886,,3.70669,,,,,,,,,
