exp,wks,occ,ind,south,smsa,ms,fem,union,ed,blk,lwage,id,t,tdum1,tdum2,tdum3,tdum4,tdum5,tdum6,tdum7,exp2
3,32,0,0,1,0,1,0,0,9,0,5.56068,1,1,1,0,0,0,0,0,0,9
4,43,0,0,1,0,1,0,0,9,0,5.72031,1,2,0,1,0,0,0,0,0,16
5,40,0,0,1,0,1,0,0,9,0,5.99645,1,3,0,0,1,0,0,0,0,25
6,39,0,0,1,0,1,0,0,9,0,5.99645,1,4,0,0,0,1,0,0,0,36
7,42,0,1,1,0,1,0,0,9,0,6.06146,1,5,0,0,0,0,1,0,0,49
8,35,0,1,1,0,1,0,0,9,0,6.17379,1,6,0,0,0,0,0,1,0,64
9,32,0,1,1,0,1,0,0,9,0,6.24417,1,7,0,0,0,0,0,0,1,81
30,34,1,0,0,0,1,0,0,11,0,6.16331,2,1,1,0,0,0,0,0,0,900
31,27,1,0,0,0,1,0,0,11,0,6.21461,2,2,0,1,0,0,0,0,0,961
32,33,1,1,0,0,1,0,1,11,0,6.2634,2,3,0,0,1,0,0,0,0,1024
33,30,1,1,0,0,1,0,0,11,0,6.54391,2,4,0,0,0,1,0,0,0,1089
34,30,1,1,0,0,1,0,0,11,0,6.69703,2,5,0,0,0,0,1,0,0,1156
35,37,1,1,0,0,1,0,0,11,0,6.79122,2,6,0,0,0,0,0,1,0,1225
36,30,1,1,0,0,1,0,0,11,0,6.81564,2,7,0,0,0,0,0,0,1,1296
6,50,1,1,0,0,1,0,1,12,0,5.65249,3,1,1,0,0,0,0,0,0,36
7,51,1,1,0,0,1,0,1,12,0,6.43615,3,2,0,1,0,0,0,0,0,49
8,50,1,1,0,0,1,0,1,12,0,6.54822,3,3,0,0,1,0,0,0,0,64
9,52,1,1,0,0,1,0,1,12,0,6.60259,3,4,0,0,0,1,0,0,0,81
10,52,1,1,0,0,1,0,1,12,0,6.6958,3,5,0,0,0,0,1,0,0,100
11,52,1,1,0,0,0,0,1,12,0,6.77878,3,6,0,0,0,0,0,1,0,121
12,46,1,1,0,0,0,0,1,12,0,6.86066,3,7,0,0,0,0,0,0,1,144
31,52,1,0,0,1,0,1,0,10,1,6.15698,4,1,1,0,0,0,0,0,0,961
32,46,1,0,0,1,0,1,0,10,1,6.23832,4,2,0,1,0,0,0,0,0,1024
33,46,1,0,0,1,0,1,0,10,1,6.30079,4,3,0,0,1,0,0,0,0,1089
34,49,1,0,0,1,0,1,0,10,1,6.35957,4,4,0,0,0,1,0,0,0,1156
35,44,1,0,0,1,0,1,0,10,1,6.46925,4,5,0,0,0,0,1,0,0,1225
36,52,1,0,0,1,0,1,0,10,1,6.56244,4,6,0,0,0,0,0,1,0,1296
37,46,1,0,0,1,0,1,0,10,1,6.62141,4,7,0,0,0,0,0,0,1,1369
10,50,1,0,0,0,1,0,1,16,0,6.43775,5,1,1,0,0,0,0,0,0,100
11,46,1,0,0,0,1,0,1,16,0,6.62007,5,2,0,1,0,0,0,0,0,121
12,40,1,0,0,0,1,0,1,16,0,6.63332,5,3,0,0,1,0,0,0,0,144
13,50,0,0,0,0,1,0,0,16,0,6.98286,5,4,0,0,0,1,0,0,0,169
14,47,1,0,0,1,1,0,0,16,0,7.04752,5,5,0,0,0,0,1,0,0,196
15,47,0,0,0,0,1,0,0,16,0,7.31322,5,6,0,0,0,0,0,1,0,225
16,49,0,0,0,0,1,0,0,16,0,7.29574,5,7,0,0,0,0,0,0,1,256
26,44,1,1,0,1,1,0,0,12,0,6.90575,6,1,1,0,0,0,0,0,0,676
27,47,1,1,0,1,1,0,0,12,0,6.90575,6,2,0,1,0,0,0,0,0,729
28,47,1,1,0,1,1,0,0,12,0,6.90776,6,3,0,0,1,0,0,0,0,784
29,47,1,1,0,1,1,0,0,12,0,7.00307,6,4,0,0,0,1,0,0,0,841
30,44,1,1,0,1,1,0,0,12,0,7.06902,6,5,0,0,0,0,1,0,0,900
31,45,1,1,0,1,1,0,0,12,0,7.52023,6,6,0,0,0,0,0,1,0,961
32,47,1,1,0,1,1,0,0,12,0,7.33889,6,7,0,0,0,0,0,0,1,1024
15,46,1,0,0,0,1,0,1,12,0,6.1334,7,1,1,0,0,0,0,0,0,225
16,48,1,0,0,0,1,0,1,12,0,6.17379,7,2,0,1,0,0,0,0,0,256
17,49,1,0,0,0,1,0,1,12,0,6.21261,7,3,0,0,1,0,0,0,0,289
18,46,1,0,0,0,1,0,1,12,0,6.31355,7,4,0,0,0,1,0,0,0,324
19,47,1,0,0,0,1,0,1,12,0,6.37502,7,5,0,0,0,0,1,0,0,361
20,47,1,0,0,0,1,0,1,12,0,6.44572,7,6,0,0,0,0,0,1,0,400
21,48,1,0,0,0,1,0,1,12,0,6.52209,7,7,0,0,0,0,0,0,1,441
23,51,1,1,1,0,1,0,1,10,0,6.3315,8,1,1,0,0,0,0,0,0,529
24,50,1,1,1,0,1,0,1,10,0,6.40357,8,2,0,1,0,0,0,0,0,576
25,50,1,1,1,0,1,0,1,10,0,6.54391,8,3,0,0,1,0,0,0,0,625
26,50,1,1,1,0,1,0,1,10,0,6.56244,8,4,0,0,0,1,0,0,0,676
27,44,1,1,0,1,1,0,1,10,0,6.59167,8,5,0,0,0,0,1,0,0,729
28,51,1,1,0,1,1,0,1,10,0,6.81783,8,6,0,0,0,0,0,1,0,784
29,51,1,1,0,1,1,0,1,10,0,6.89163,8,7,0,0,0,0,0,0,1,841
3,50,0,0,1,1,1,0,0,16,0,6.55108,9,1,1,0,0,0,0,0,0,9
4,48,0,0,1,1,1,0,0,16,0,6.55108,9,2,0,1,0,0,0,0,0,16
5,50,0,0,1,1,1,0,0,16,0,6.80239,9,3,0,0,1,0,0,0,0,25
6,48,0,0,1,1,1,0,0,16,0,6.90776,9,4,0,0,0,1,0,0,0,36
7,48,0,0,1,1,1,0,0,16,0,7.09008,9,5,0,0,0,0,1,0,0,49
8,44,0,0,1,1,1,0,0,16,0,7.17012,9,6,0,0,0,0,0,1,0,64
9,48,0,0,1,1,1,0,0,16,0,7.20786,9,7,0,0,0,0,0,0,1,81
3,49,0,0,1,1,1,0,0,16,0,6.39693,10,1,1,0,0,0,0,0,0,9
4,47,0,0,1,1,1,0,0,16,0,6.43775,10,2,0,1,0,0,0,0,0,16
5,46,0,0,1,1,1,0,0,16,0,6.43775,10,3,0,0,1,0,0,0,0,25
6,44,0,0,1,1,1,0,0,16,0,6.43775,10,4,0,0,0,1,0,0,0,36
7,43,0,0,1,1,1,0,0,16,0,6.52209,10,5,0,0,0,0,1,0,0,49
8,34,0,0,1,1,1,0,0,16,0,6.61338,10,6,0,0,0,0,0,1,0,64
9,40,0,0,1,1,1,0,0,16,0,6.73934,10,7,0,0,0,0,0,0,1,81
24,47,1,0,0,1,0,0,1,12,0,6.65801,11,1,1,0,0,0,0,0,0,576
25,48,1,0,0,1,0,0,1,12,0,6.72623,11,2,0,1,0,0,0,0,0,625
26,45,1,0,0,1,0,0,1,12,0,6.80239,11,3,0,0,1,0,0,0,0,676
27,45,1,0,0,1,1,0,1,12,0,6.90776,11,4,0,0,0,1,0,0,0,729
28,47,1,0,0,1,1,0,1,12,0,7.03966,11,5,0,0,0,0,1,0,0,784
29,17,1,0,0,1,1,0,1,12,0,7.12769,11,6,0,0,0,0,0,1,0,841
30,47,1,0,0,1,1,0,1,12,0,7.24423,11,7,0,0,0,0,0,0,1,900
21,47,1,0,1,1,1,0,1,12,0,6.55108,12,1,1,0,0,0,0,0,0,441
22,46,1,0,1,1,1,0,1,12,0,6.62936,12,2,0,1,0,0,0,0,0,484
23,47,1,0,1,1,1,0,1,12,0,6.72263,12,3,0,0,1,0,0,0,0,529
24,47,1,0,1,1,1,0,1,12,0,6.7334,12,4,0,0,0,1,0,0,0,576
25,47,1,0,1,1,1,0,1,12,0,6.72263,12,5,0,0,0,0,1,0,0,625
26,47,1,0,1,1,1,0,1,12,0,6.95177,12,6,0,0,0,0,0,1,0,676
27,46,1,0,1,1,1,0,1,12,0,7.05272,12,7,0,0,0,0,0,0,1,729
26,48,1,0,1,1,1,0,0,12,0,6.90575,13,1,1,0,0,0,0,0,0,676
27,48,1,0,1,1,1,0,0,12,0,6.90073,13,2,0,1,0,0,0,0,0,729
28,50,1,0,1,1,1,0,0,12,0,7.17012,13,3,0,0,1,0,0,0,0,784
29,48,1,0,1,1,1,0,0,12,0,7.26543,13,4,0,0,0,1,0,0,0,841
30,48,1,0,1,1,1,0,0,12,0,7.25912,13,5,0,0,0,0,1,0,0,900
31,46,0,0,1,1,1,0,0,12,0,7.25488,13,6,0,0,0,0,0,1,0,961
32,46,1,0,1,1,1,0,0,12,0,7.40001,13,7,0,0,0,0,0,0,1,1024
15,45,0,0,1,1,1,0,0,17,0,6.80239,14,1,1,0,0,0,0,0,0,225
16,45,0,0,1,1,1,0,0,17,0,6.80239,14,2,0,1,0,0,0,0,0,256
17,45,0,0,1,1,1,0,0,17,0,6.9256,14,3,0,0,1,0,0,0,0,289
18,44,0,0,1,1,1,0,0,17,0,7.00307,14,4,0,0,0,1,0,0,0,324
19,44,0,0,1,1,1,0,0,17,0,7.1309,14,5,0,0,0,0,1,0,0,361
20,44,0,0,1,1,1,0,0,17,0,7.12448,14,6,0,0,0,0,0,1,0,400
21,44,0,0,1,1,1,0,0,17,0,7.12287,14,7,0,0,0,0,0,0,1,441
9,50,0,0,0,0,0,1,0,14,0,5.94017,15,1,1,0,0,0,0,0,0,81
10,46,0,0,0,0,0,1,0,14,0,5.86079,15,2,0,1,0,0,0,0,0,100
11,48,0,0,0,0,0,1,0,14,0,5.99894,15,3,0,0,1,0,0,0,0,121
12,46,0,0,0,0,0,1,0,14,0,6.0845,15,4,0,0,0,1,0,0,0,144
